window_size,run_id,scenario,player_id,total_cost_ma,total_cost_waterfall,total_cost_oracle,delta_total_vs_waterfall,delta_total_vs_oracle
8,6,mid_start_normal,11,13.136526593844065,12.265065633881349,11.012217501427875,0.8714609599627163,2.1243090924161905
8,6,mid_start_normal,12,11.328830252310397,13.73967784541945,8.140096556867464,-2.410847593109054,3.1887336954429326
8,6,mid_start_normal,13,10.50826240077382,8.961068252195997,7.3467586259860145,1.5471941485778231,3.161503774787805
8,6,mid_start_normal,14,9.656919875125,11.95473151396172,6.865582210083642,-2.29781163883672,2.7913376650413584
8,6,mid_start_normal,15,10.31467385738013,8.953746174066625,8.378665021031823,1.3609276833135056,1.9360088363483072
8,6,mid_start_normal,16,10.133488582253063,8.48055499002618,6.805226989234265,1.6529335922268835,3.328261593018798
8,6,mid_start_normal,17,9.49037263474086,8.802382180607347,6.460775829746125,0.6879904541335122,3.0295968049947346
8,6,mid_start_normal,18,8.314559836496882,7.276002375230234,5.808611525988142,1.038557461266648,2.5059483105087397
8,6,mid_start_normal,19,9.215315499869003,8.107498731122364,6.443751779378656,1.1078167687466394,2.771563720490348
8,6,mid_start_normal,20,9.33646304620979,11.003278027550696,6.898723123983498,-1.6668149813409059,2.4377399222262923
8,6,stressed_ev_buffered_bess,1,14.515945422702444,12.554670020688475,11.197606135263687,1.9612754020139693,3.318339287438757
8,6,stressed_ev_buffered_bess,2,15.505738934103674,13.428500706644817,11.873012311434982,2.0772382274588566,3.6327266226686916
8,6,stressed_ev_buffered_bess,3,14.442894276779985,12.771511371102147,11.523808003493103,1.671382905677838,2.919086273286881
8,6,stressed_ev_buffered_bess,4,16.606667953307177,13.922593838311935,12.789532440301969,2.6840741149952425,3.8171355130052085
8,6,stressed_ev_buffered_bess,5,20.176827656109033,18.171013160199077,16.421926348102822,2.0058144959099558,3.754901308006211
8,6,stressed_ev_buffered_bess,6,14.207058200956507,12.960690302558064,11.356072762795055,1.246367898398443,2.8509854381614517
8,6,stressed_ev_buffered_bess,7,19.869433112696193,18.114162017376557,16.833910946133564,1.7552710953196353,3.035522166562629
8,6,stressed_ev_buffered_bess,8,16.66664714381025,15.316577687926925,12.913363309851729,1.3500694558833235,3.7532838339585197
8,6,stressed_ev_buffered_bess,9,23.10260126660854,20.828055301843833,15.388070973441513,2.274545964764709,7.714530293167028
8,6,stressed_ev_buffered_bess,10,13.938800205651322,12.279160556227245,10.800084027650636,1.6596396494240775,3.1387161780006867
8,6,stressed_ev_buffered_bess,11,18.521916365493105,16.919053355710474,15.3740402559671,1.6028630097826309,3.1478761095260044
8,6,stressed_ev_buffered_bess,12,20.12041975645197,19.88364347931533,14.04947235447594,0.23677627713663796,6.07094740197603
8,6,stressed_ev_buffered_bess,13,16.47000834849686,14.004883153938637,12.517173411982643,2.465125194558224,3.9528349365142184
8,6,stressed_ev_buffered_bess,14,17.521983513230825,17.802010652062894,12.272120669863787,-0.2800271388320681,5.249862843367039
8,6,stressed_ev_buffered_bess,15,14.77240430388939,12.788132608554205,12.365347582542448,1.9842716953351847,2.407056721346942
8,6,stressed_ev_buffered_bess,16,15.916905976514403,13.777364464582709,11.817088551964755,2.1395415119316947,4.099817424549649
8,6,stressed_ev_buffered_bess,17,15.553345400702513,13.818656658026276,11.28424976218284,1.7346887426762372,4.269095638519673
8,6,stressed_ev_buffered_bess,18,12.933890699247891,11.233788735524021,9.98728186973075,1.7001019637238706,2.9466088295171406
8,6,stressed_ev_buffered_bess,19,15.592651942351566,12.813781036098613,11.145601280630112,2.778870906252953,4.447050661721454
8,6,stressed_ev_buffered_bess,20,15.59744462174724,16.2360698815662,11.127742689023961,-0.6386252598189586,4.469701932723279
12,7,default_scenario,1,18.49660796845938,13.673265821200669,13.551090220812139,4.82334214725871,4.945517747647241
12,7,default_scenario,2,18.98848601505989,14.0806759009769,13.740618176008823,4.9078101140829915,5.247867839051068
12,7,default_scenario,3,19.923473515504824,13.869976876740067,13.642562454792332,6.0534966387647575,6.2809110607124925
12,7,default_scenario,4,20.904831711959282,15.701753404856369,15.276548526449268,5.203078307102913,5.628283185510014
12,7,default_scenario,5,23.806110635240017,19.02452132118156,18.7781465034268,4.781589314058458,5.027964131813217
12,7,default_scenario,6,13.836660266348124,14.492406700598188,14.113781300934852,-0.6557464342500641,-0.27712103458672743
