params,score
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 400}",0.67646
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 400}",0.66497
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 400}",0.711
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 500}",0.58613
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500}",0.61638
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500}",0.64952
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 500}",0.65822
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 500}",0.70326
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 500}",0.61445
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500}",0.64744
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 500}",0.66187
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 500}",0.66616
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 500}",0.69056
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 500}",0.65002
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 500}",0.66631
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 500}",0.66581
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 500}",0.67732
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 500}",0.72024
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 500}",0.65837
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 500}",0.6708
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 500}",0.67657
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 500}",0.66497
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 500}",0.711
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 600}",0.58714
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 600}",0.62212
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 600}",0.65802
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 600}",0.66152
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 600}",0.70723
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 600}",0.61562
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 600}",0.65004
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 600}",0.6628
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 600}",0.66639
