target,learning_rate,n_estimators,max_depth,mean_score,fold_A,fold_B,fold_C,fold_D,fold_E
ev1_status,0.2,600,5,0.09146283119916916,0.09501581639051437,0.08490178734064102,0.0931333377957344,0.08999735862016678,0.09426585584878922
ev1_status,0.2,600,7,0.09937377274036407,0.10320279747247696,0.09097778797149658,0.10035599023103714,0.09576026350259781,0.10657202452421188
ev2_status,0.05,100,3,0.09281801134347915,0.0906510129570961,0.09441173821687698,0.09356177598237991,0.09129879623651505,0.09416673332452774
ev2_status,0.05,100,5,0.08925033956766129,0.08762537688016891,0.09017938375473022,0.09162553399801254,0.08678194880485535,0.0900394544005394
ev2_status,0.05,100,7,0.08899660557508468,0.0894642174243927,0.09050270169973373,0.09028729051351547,0.0855608582496643,0.08916795998811722
ev2_status,0.05,300,3,0.0826930433511734,0.08040492981672287,0.08352130651473999,0.08520805090665817,0.08020537346601486,0.08412555605173111
ev2_status,0.05,300,5,0.08306928724050522,0.08020618557929993,0.0840449333190918,0.08501750230789185,0.08039774745702744,0.08568006753921509
ev2_status,0.05,300,7,0.08489222228527069,0.08421235531568527,0.08627768605947495,0.08519858121871948,0.0810137465596199,0.08775874227285385
ev2_status,0.05,600,3,0.08245229870080947,0.08009839057922363,0.08291250467300415,0.08438513427972794,0.08008614927530289,0.08477931469678879
ev2_status,0.05,600,5,0.08578654825687408,0.08475544303655624,0.08752002567052841,0.08479452133178711,0.08250666409730911,0.08935608714818954
ev2_status,0.05,600,7,0.09044126719236374,0.09302998334169388,0.09159684926271439,0.08913583308458328,0.0843055248260498,0.09413814544677734
ev2_status,0.1,100,3,0.08382170051336288,0.08128966391086578,0.08520891517400742,0.08583319187164307,0.08189224451780319,0.08488448709249496
ev2_status,0.1,100,5,0.08284489661455155,0.08076152950525284,0.08329742401838303,0.08562278002500534,0.07995814830064774,0.08458460122346878
ev2_status,0.1,100,7,0.08386451750993729,0.08449491113424301,0.08497586846351624,0.08403089642524719,0.08021006733179092,0.08561084419488907
ev2_status,0.1,300,3,0.08244575560092926,0.07998906075954437,0.08296564966440201,0.08447358012199402,0.08041298389434814,0.08438750356435776
ev2_status,0.1,300,5,0.08601513057947159,0.08422990888357162,0.08847823739051819,0.08487079292535782,0.08204082399606705,0.09045588970184326
ev2_status,0.1,300,7,0.0902637466788292,0.0910569503903389,0.09188807010650635,0.08842063695192337,0.08442527055740356,0.09552780538797379
ev2_status,0.1,600,3,0.08351082503795623,0.08187251538038254,0.08442485332489014,0.08464508503675461,0.08080821484327316,0.08580345660448074
ev2_status,0.1,600,5,0.09001079052686692,0.09189490228891373,0.09280683845281601,0.08598166704177856,0.0839904174208641,0.09538012742996216
ev2_status,0.1,600,7,0.09805643111467362,0.1034121885895729,0.10193825513124466,0.09304862469434738,0.08853742480278015,0.10334566235542297
ev2_status,0.2,100,3,0.08247603476047516,0.07983716577291489,0.08351076394319534,0.08524683862924576,0.07961499691009521,0.08417040854692459
ev2_status,0.2,100,5,0.08383160531520843,0.08078524470329285,0.08492005616426468,0.08542976528406143,0.08078259974718094,0.08724036067724228
ev2_status,0.2,100,7,0.08740214109420777,0.0867188572883606,0.08828052878379822,0.08684339374303818,0.08202770352363586,0.09314022213220596
ev2_status,0.2,300,3,0.08418294042348862,0.08178658038377762,0.0849577784538269,0.08576774597167969,0.08151628822088242,0.08688630908727646
ev2_status,0.2,300,5,0.08930016607046128,0.08907393366098404,0.09251595288515091,0.08650761842727661,0.08404996991157532,0.09435335546731949
ev2_status,0.2,300,7,0.09773325324058532,0.10295095294713974,0.098675936460495,0.0942186713218689,0.08792781829833984,0.10489288717508316
ev2_status,0.2,600,3,0.08689031600952149,0.08515238761901855,0.08853155374526978,0.08680564910173416,0.08316674828529358,0.09079524129629135
ev2_status,0.2,600,5,0.09542520195245743,0.09578155726194382,0.10109040886163712,0.09006091207265854,0.08836958557367325,0.10182354599237442
ev2_status,0.2,600,7,0.10523397773504257,0.1132555603981018,0.10765514522790909,0.09920394420623779,0.09191540628671646,0.11413983255624771
