params,score
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 600}",0.32126
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 600}",0.33386
"{""learning_rate"": 0.8, ""max_depth"": 3, ""n_estimators"": 600}",0.34591
"{""learning_rate"": 1.0, ""max_depth"": 3, ""n_estimators"": 600}",0.33535
"{""learning_rate"": 1.5, ""max_depth"": 3, ""n_estimators"": 600}",0.44551
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 600}",0.32576
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 600}",0.3203
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 600}",0.31817
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 600}",0.32926
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 600}",0.33027
"{""learning_rate"": 0.8, ""max_depth"": 5, ""n_estimators"": 600}",0.35129
"{""learning_rate"": 1.0, ""max_depth"": 5, ""n_estimators"": 600}",0.37736
"{""learning_rate"": 1.5, ""max_depth"": 5, ""n_estimators"": 600}",0.49948
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 600}",0.33002
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 600}",0.33075
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 600}",0.33011
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 600}",0.33654
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 600}",0.34243
"{""learning_rate"": 0.8, ""max_depth"": 7, ""n_estimators"": 600}",0.34825
"{""learning_rate"": 1.0, ""max_depth"": 7, ""n_estimators"": 600}",0.38498
"{""learning_rate"": 1.5, ""max_depth"": 7, ""n_estimators"": 600}",0.47694
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 600}",0.33159
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 600}",0.3315
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 600}",0.33376
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 600}",0.33314
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 600}",0.32881
"{""learning_rate"": 0.8, ""max_depth"": 9, ""n_estimators"": 600}",0.37666
"{""learning_rate"": 1.0, ""max_depth"": 9, ""n_estimators"": 600}",0.39437
"{""learning_rate"": 1.5, ""max_depth"": 9, ""n_estimators"": 600}",0.50488
