n_train_days,rmse,train_seed
3,2.5694496217883893,3
4,1.8971767378321873,3
5,1.905232428768377,3
6,1.1958536323192612,3
7,1.173215263157952,3
8,0.9312475535567426,3
9,0.8547794275635733,3
10,0.8546656818794095,3
11,0.8411815213510625,3
12,0.8466814773693988,3
13,0.8433194222430861,3
14,0.8234212127252608,3
15,0.8227793089282596,3
16,0.8232160975397611,3
17,0.8123362554637166,3
18,0.8304663264376558,3
19,0.8218159739261109,3
20,0.832885125213229,3
21,0.8315925325806824,3
22,0.8115006215814698,3
23,0.8208213006499518,3
24,0.8293746398343655,3
25,0.8315900416594177,3
26,0.8356873614430209,3
27,0.8361194338096998,3
28,0.8308588441174151,3
29,0.8364771724875693,3
30,0.834274666274556,3
31,0.8296692868848361,3
32,0.8238496267347042,3
33,0.818836029980091,3
34,0.8253577476518386,3
35,0.8188052677529032,3
36,0.8187493142761028,3
37,0.8160690624205379,3
38,0.7994006911023765,3
39,0.8141884502841981,3
40,0.8171109651048653,3
41,0.8148719469404547,3
42,0.8067417926255457,3
43,0.7918630814056267,3
44,0.7850068250387008,3
45,0.7830827922070198,3
46,0.7867439769756074,3
