family,target,fold_id,household_id,timestep,ev_key,y_true,y_pred
rf,base_load,fold_1,2,92,,0.161424144,0.5592866463000162
rf,base_load,fold_1,2,93,,0.161424144,0.1624887963958135
rf,base_load,fold_1,2,94,,0.13293753,0.434640549022381
rf,base_load,fold_1,2,95,,0.13293753,0.12827440450041666
rf,base_load,fold_1,2,96,,0.0,0.23632609885321426
rf,base_load,fold_1,3,1,,0.164274434,0.16352927339581344
rf,base_load,fold_1,3,2,,0.141148421,0.1615532134866468
rf,base_load,fold_1,3,3,,0.141148421,0.140290829321627
rf,base_load,fold_1,3,4,,0.142743319,0.17045178594583335
rf,base_load,fold_1,3,5,,0.142743319,0.1316515176085714
rf,base_load,fold_1,3,6,,0.176236165,0.1266857324163095
rf,base_load,fold_1,3,7,,0.176236165,0.1711504107047024
rf,base_load,fold_1,3,8,,0.115630063,0.21815862721107143
rf,base_load,fold_1,3,9,,0.115630063,0.12484307684232139
rf,base_load,fold_1,3,10,,0.099681089,0.15249472859180555
rf,base_load,fold_1,3,11,,0.099681089,0.11118792273636906
rf,base_load,fold_1,3,12,,0.120414755,0.13655785106132937
rf,base_load,fold_1,3,13,,0.120414755,0.12268526837027054
rf,base_load,fold_1,3,14,,0.090909153,0.11387207900261904
rf,base_load,fold_1,3,15,,0.090909153,0.10145628636442461
rf,base_load,fold_1,3,16,,0.08054232,0.14031047936744045
rf,base_load,fold_1,3,17,,0.08054232,0.09751139980340187
rf,base_load,fold_1,3,18,,0.099681089,0.16249467878207252
rf,base_load,fold_1,3,19,,0.099681089,0.10333442084132938
rf,base_load,fold_1,3,20,,0.169856575,0.15078903260889193
rf,base_load,fold_1,3,21,,0.169856575,0.2076925116663059
rf,base_load,fold_1,3,22,,0.129984139,0.24423263454809524
rf,base_load,fold_1,3,23,,0.129984139,0.12940891023063497
rf,base_load,fold_1,3,24,,0.118022409,0.15461362997250003
rf,base_load,fold_1,3,25,,0.118022409,0.12378886398775253
rf,base_load,fold_1,3,26,,0.124401999,0.1308256886840837
rf,base_load,fold_1,3,27,,0.124401999,0.11588582925964286
rf,base_load,fold_1,3,28,,0.102870883,0.1322072712298611
rf,base_load,fold_1,3,29,,0.102870883,0.11811017090708331
rf,base_load,fold_1,3,30,,0.116427511,0.14363106456190475
rf,base_load,fold_1,3,31,,0.116427511,0.11893856623392858
rf,base_load,fold_1,3,32,,0.113237717,0.12348228201369049
rf,base_load,fold_1,3,33,,0.113237717,0.17390587900599208
rf,base_load,fold_1,3,34,,0.118022409,0.11806573901043653
rf,base_load,fold_1,3,35,,0.118022409,0.12453363078597227
rf,base_load,fold_1,3,36,,0.130781588,0.1238836003226389
rf,base_load,fold_1,3,37,,0.130781588,0.12147951855458336
rf,base_load,fold_1,3,38,,0.063795897,0.12191705716458334
rf,base_load,fold_1,3,39,,0.063795897,0.06922446163428572
rf,base_load,fold_1,3,40,,0.085327012,0.09710882542571969
rf,base_load,fold_1,3,41,,0.085327012,0.09408138262190477
rf,base_load,fold_1,3,42,,0.115630063,0.1345909986170238
rf,base_load,fold_1,3,43,,0.115630063,0.11186933049393218
rf,base_load,fold_1,3,44,,0.066188243,0.09525898220339286
rf,base_load,fold_1,3,45,,0.066188243,0.07505037057698413
rf,base_load,fold_1,3,46,,0.642743659,0.10827699417210856
rf,base_load,fold_1,3,47,,0.642743659,0.6758111154256885
rf,base_load,fold_1,3,48,,0.645933454,0.5380295923959921
rf,base_load,fold_1,3,49,,0.645933454,0.6814139717165675
rf,base_load,fold_1,3,50,,0.651515595,0.6918646996885714
rf,base_load,fold_1,3,51,,0.651515595,0.7923348096404761
rf,base_load,fold_1,3,52,,0.674641607,0.6961974792321428
rf,base_load,fold_1,3,53,,0.674641607,0.7099621194381547
rf,base_load,fold_1,3,54,,0.665072223,0.6972623616878572
rf,base_load,fold_1,3,55,,0.665072223,0.7654887245217857
rf,base_load,fold_1,3,56,,0.700957415,0.7767100845062501
rf,base_load,fold_1,3,57,,0.700957415,0.7629727955775792
rf,base_load,fold_1,3,58,,0.751994132,0.8101133679205554
rf,base_load,fold_1,3,59,,0.751994132,0.7995454156740476
rf,base_load,fold_1,3,60,,0.731260466,0.752414463882262
rf,base_load,fold_1,3,61,,0.731260466,0.7549693950006546
rf,base_load,fold_1,3,62,,0.743222196,0.7930889789173212
rf,base_load,fold_1,3,63,,0.743222196,0.756485716850238
rf,base_load,fold_1,3,64,,0.739234953,0.8143969605644804
rf,base_load,fold_1,3,65,,0.739234953,0.7639086493258692
rf,base_load,fold_1,3,66,,0.69776762,0.8081725244869803
rf,base_load,fold_1,3,67,,0.69776762,0.7471325345039267
rf,base_load,fold_1,3,68,,0.701754863,0.7471870555246409
rf,base_load,fold_1,3,69,,0.701754863,0.720177283165772
rf,base_load,fold_1,3,70,,0.241626959,0.753874607396681
rf,base_load,fold_1,3,71,,0.241626959,0.2435058894330952
rf,base_load,fold_1,3,72,,0.466507494,0.32461064026166675
rf,base_load,fold_1,3,73,,0.466507494,0.5759294638292263
rf,base_load,fold_1,3,74,,0.118819858,0.5350420101655555
rf,base_load,fold_1,3,75,,0.118819858,0.1308699498486111
rf,base_load,fold_1,3,76,,0.097288742,0.2698644564779167
rf,base_load,fold_1,3,77,,0.097288742,0.1120407926432738
rf,base_load,fold_1,3,78,,0.161084639,0.307734873475
rf,base_load,fold_1,3,79,,0.161084639,0.1902200902524603
rf,base_load,fold_1,3,80,,0.251196343,0.1849658398394048
rf,base_load,fold_1,3,81,,0.251196343,0.297658711829127
rf,base_load,fold_1,3,82,,0.190590241,0.24361422301369048
rf,base_load,fold_1,3,83,,0.190590241,0.1980288642187103
rf,base_load,fold_1,3,84,,0.226475433,0.18156085384101192
rf,base_load,fold_1,3,85,,0.226475433,0.23627518451175508
rf,base_load,fold_1,3,86,,0.180223408,0.19660146141237014
rf,base_load,fold_1,3,87,,0.180223408,0.20502619855805554
rf,base_load,fold_1,3,88,,0.164274434,0.22856157915031744
rf,base_load,fold_1,3,89,,0.164274434,0.16479251201980155
rf,base_load,fold_1,3,90,,0.129186691,0.20421858699813492
rf,base_load,fold_1,3,91,,0.129186691,0.1254320996406385
rf,base_load,fold_1,3,92,,0.081339768,0.15879449962914682
rf,base_load,fold_1,3,93,,0.081339768,0.07921798998277776
rf,base_load,fold_1,3,94,,0.066985692,0.12552204800186506
rf,base_load,fold_1,3,95,,0.066985692,0.06597193492119048
rf,base_load,fold_1,3,96,,0.0,0.08543843764321428
rf,base_load,fold_1,4,1,,0.414113152,0.3659581788149404
rf,base_load,fold_1,4,2,,0.355815669,0.3694866895587103
rf,base_load,fold_1,4,3,,0.355815669,0.33655233682807356
rf,base_load,fold_1,4,4,,0.359836185,0.23150447464954543
rf,base_load,fold_1,4,5,,0.359836185,0.35278546371021824
rf,base_load,fold_1,4,6,,0.444267022,0.3326896442765656
rf,base_load,fold_1,4,7,,0.444267022,0.475888892149816
rf,base_load,fold_1,4,8,,0.291487413,0.31487637691662873
rf,base_load,fold_1,4,9,,0.291487413,0.30861007820267855
rf,base_load,fold_1,4,10,,0.251282252,0.33803537880928575
rf,base_load,fold_1,4,11,,0.251282252,0.2497759100492063
rf,base_load,fold_1,4,12,,0.303548961,0.4193349949223215
rf,base_load,fold_1,4,13,,0.303548961,0.3194638585731746
rf,base_load,fold_1,4,14,,0.229169414,0.30709087755957254
rf,base_load,fold_1,4,15,,0.229169414,0.24415560863827374
rf,base_load,fold_1,4,16,,0.20303606,0.3532211774453175
rf,base_load,fold_1,4,17,,0.20303606,0.21616042776047614
rf,base_load,fold_1,4,18,,0.251282252,0.30543320798452384
rf,base_load,fold_1,4,19,,0.251282252,0.2343980473176984
rf,base_load,fold_1,4,20,,0.428184958,0.23206519705261908
rf,base_load,fold_1,4,21,,0.428184958,0.42223777583724215
rf,base_load,fold_1,4,22,,0.327672057,0.30320644209063496
rf,base_load,fold_1,4,23,,0.327672057,0.33044872223325406
rf,base_load,fold_1,4,24,,0.297518187,0.37822719972547614
rf,base_load,fold_1,4,25,,0.297518187,0.29379587075011904
rf,base_load,fold_1,4,26,,0.313600251,0.4503049195066667
rf,base_load,fold_1,4,27,,0.313600251,0.3673713919515872
rf,base_load,fold_1,4,28,,0.259323284,0.4761127007353174
rf,base_load,fold_1,4,29,,0.259323284,0.26012081491888167
rf,base_load,fold_1,4,30,,0.293497671,0.5134539658228211
rf,base_load,fold_1,4,31,,0.293497671,0.3350188153075
rf,base_load,fold_1,4,32,,0.285456639,0.40241081774704907
rf,base_load,fold_1,4,33,,0.285456639,0.31080411805780306
rf,base_load,fold_1,4,34,,0.297518187,0.30918461683284276
rf,base_load,fold_1,4,35,,0.297518187,0.33568321121903316
rf,base_load,fold_1,4,36,,0.329682315,0.3409699484829617
rf,base_load,fold_1,4,37,,0.329682315,0.47532027832442647
rf,base_load,fold_1,4,38,,0.160820641,0.5542455231256168
rf,base_load,fold_1,4,39,,0.160820641,0.15906359440940476
rf,base_load,fold_1,4,40,,0.215097608,0.3245686396658514
rf,base_load,fold_1,4,41,,0.215097608,0.21760378355481597
rf,base_load,fold_1,4,42,,0.291487413,0.21336094330166663
rf,base_load,fold_1,4,43,,0.291487413,0.28299489755440477
rf,base_load,fold_1,4,44,,0.166851416,0.23511682483928573
rf,base_load,fold_1,4,45,,0.166851416,0.17120128599726192
rf,base_load,fold_1,4,46,,1.620267963,0.36802653981845235
rf,base_load,fold_1,4,47,,1.620267963,1.6659429977432343
rf,base_load,fold_1,4,48,,1.628308995,0.9898691199264393
rf,base_load,fold_1,4,49,,1.628308995,1.930191214987262
rf,base_load,fold_1,4,50,,1.642380801,1.8584324628269442
rf,base_load,fold_1,4,51,,1.642380801,2.301005171832659
rf,base_load,fold_1,4,52,,1.700678284,2.0933720680342067
rf,base_load,fold_1,4,53,,1.700678284,2.3654568054841345
rf,base_load,fold_1,4,54,,1.676555187,2.229262165540244
rf,base_load,fold_1,4,55,,1.676555187,1.9757184943770099
rf,base_load,fold_1,4,56,,1.767016798,2.297841832247664
rf,base_load,fold_1,4,57,,1.767016798,1.7682079650017748
rf,base_load,fold_1,4,58,,1.895673311,1.9811208349885792
rf,base_load,fold_1,4,59,,1.895673311,1.940083885792496
rf,base_load,fold_1,4,60,,1.843406603,1.9439889374639272
rf,base_load,fold_1,4,61,,1.843406603,1.9598635890931746
rf,base_load,fold_1,4,62,,1.873560473,2.0404246320644246
rf,base_load,fold_1,4,63,,1.873560473,1.975488249144251
rf,base_load,fold_1,4,64,,1.863509183,1.9470265329609178
rf,base_load,fold_1,4,65,,1.863509183,1.9470265329609178
rf,base_load,fold_1,4,66,,1.758975766,2.0164949683218705
rf,base_load,fold_1,4,67,,1.758975766,1.8328539993951978
rf,base_load,fold_1,4,68,,1.769027056,1.9666917737518645
rf,base_load,fold_1,4,69,,1.769027056,1.7536311699087892
rf,base_load,fold_1,4,70,,0.60910818,1.907103990577837
rf,base_load,fold_1,4,71,,0.60910818,1.0474653998965873
rf,base_load,fold_1,4,72,,1.176000941,1.1125324195210715
rf,base_load,fold_1,4,73,,1.176000941,1.4100399277558138
rf,base_load,fold_1,4,74,,0.299528445,1.3573877228585516
rf,base_load,fold_1,4,75,,0.299528445,0.32953885299019836
rf,base_load,fold_1,4,76,,0.245251478,0.5810978704695833
rf,base_load,fold_1,4,77,,0.245251478,0.2523079674696429
rf,base_load,fold_1,4,78,,0.40607212,0.45105570932971856
rf,base_load,fold_1,4,79,,0.40607212,0.5335633005031944
rf,base_load,fold_1,4,80,,0.633231276,0.42540477768244056
rf,base_load,fold_1,4,81,,0.633231276,0.7130046000881457
rf,base_load,fold_1,4,82,,0.480451666,0.8092315020918452
rf,base_load,fold_1,4,83,,0.480451666,0.5139880541575579
rf,base_load,fold_1,4,84,,0.570913277,0.5728873444076189
rf,base_load,fold_1,4,85,,0.570913277,0.6348682388683766
rf,base_load,fold_1,4,86,,0.454318312,0.785886337717004
rf,base_load,fold_1,4,87,,0.454318312,0.4445497749438294
rf,base_load,fold_1,4,88,,0.414113152,0.5933137065605357
rf,base_load,fold_1,4,89,,0.414113152,0.4911655470048412
rf,base_load,fold_1,4,90,,0.325661799,0.545084852241369
rf,base_load,fold_1,4,91,,0.325661799,0.3869828342464088
rf,base_load,fold_1,4,92,,0.205046318,0.4661348514761544
rf,base_load,fold_1,4,93,,0.205046318,0.20468224038583335
rf,base_load,fold_1,4,94,,0.168861674,0.4760062083785118
rf,base_load,fold_1,4,95,,0.168861674,0.15864594313505953
rf,base_load,fold_1,4,96,,0.0,0.16434437233714286
rf,base_load,fold_1,5,1,,1.648607599,1.4803357853863293
rf,base_load,fold_1,5,2,,1.503413294,1.465473367207242
rf,base_load,fold_1,5,3,,1.404584749,1.3182784356652923
rf,base_load,fold_1,5,4,,0.913136057,1.2399388994716811
rf,base_load,fold_1,5,5,,0.305276697,1.1167373409882737
rf,base_load,fold_1,5,6,,0.302582662,0.4448204577811111
rf,base_load,fold_1,5,7,,0.32285882,0.3895890490846627
rf,base_load,fold_1,5,8,,0.306978193,0.31539045178896646
rf,base_load,fold_1,5,9,,0.346112596,0.35352678388289693
rf,base_load,fold_1,5,10,,0.38326192,0.3439826340331547
rf,base_load,fold_1,5,11,,0.381560424,0.41427278867924605
rf,base_load,fold_1,5,12,,0.383120128,0.5154321050938366
rf,base_load,fold_1,5,13,,0.312791637,0.39510013482755946
rf,base_load,fold_1,5,14,,0.31633642,0.3194866744825
rf,base_load,fold_1,5,15,,0.318605081,0.34527829216591266
rf,base_load,fold_1,5,16,,0.310664767,0.30871109085267856
rf,base_load,fold_1,5,17,,0.355470822,0.30812776821875
rf,base_load,fold_1,5,18,,0.289537862,0.37265463586732145
rf,base_load,fold_1,5,19,,0.335620038,0.3811428782191992
rf,base_load,fold_1,5,20,,0.433314253,0.38212049088563493
rf,base_load,fold_1,5,21,,0.342426021,0.3962813757711689
rf,base_load,fold_1,5,22,,0.334343917,0.35791108431603896
rf,base_load,fold_1,5,23,,0.316052837,0.3821256656559126
rf,base_load,fold_1,5,24,,0.31094835,0.34989711012999997
rf,base_load,fold_1,5,25,,0.350508126,0.36254152258440475
rf,base_load,fold_1,5,26,,0.283582626,0.4215432153351587
rf,base_load,fold_1,5,27,,0.325694646,0.3188080712421428
rf,base_load,fold_1,5,28,,0.347105135,0.4626204814876388
rf,base_load,fold_1,5,29,,0.322149864,0.7025407728276191
rf,base_load,fold_1,5,30,,0.443239645,0.6357494239814285
rf,base_load,fold_1,5,31,,0.321015533,0.4475958350381348
rf,base_load,fold_1,5,32,,0.273657234,0.48765095499833333
rf,base_load,fold_1,5,33,,0.374329067,0.33635024204363095
rf,base_load,fold_1,5,34,,0.270679617,0.44312347838071425
rf,base_load,fold_1,5,35,,0.337888699,0.3729839736029762
rf,base_load,fold_1,5,36,,0.345120056,0.43380790846414685
rf,base_load,fold_1,5,37,,0.432321714,0.3387303368473809
